Agency type,Agency,Population,Total Offenses,Crimes Against Persons,Crimes Against Property,Crimes Against Society,"Assault
Offenses","Aggravated
Assault","Simple
Assault",Intimidation,"Homicide
Offenses","Murder and
Nonnegligent
Manslaughter","Negligent
Man-
slaughter","Justifiable
Homicide","Human
Trafficking
Offenses","Commercial
Sex Acts","Involuntary
Servitude","Kidnapping/
Abduction","Sex
Offenses",Rape,Sodomy,"Sexual
Assault
With an
Object","Criminal
Sexual
Contact2",Incest,"Statutory
Rape",Arson,Bribery,"Burglary/
Breaking &
Entering","Counterfiting/
Forgery","Destruction/
Damage/
Vandalism
of Property",Embezzlement,"Extortion/
Blackmail","Fraud
Offenses","False
Pretenses/
Swindle/
Confidence
Game","Credit
Card/
Automated
Teller
Machine
Fraud",Impersonation,"Welfare
Fraud","Wire
Fraud","Identity 
Theft","Hacking/
Computer 
Invasion","Larceny/
Theft
Offenses",Pocketpicking,Purse snatching,"Shop 
lifting","Theft
From
Building","Theft
From
Coin Op-
erated
Machine
or Device","Theft
From
Motor
Vehicle","Theft of 
Motor 
Vehicle
Parts or
Acces-
sories","All
Other
Larceny","Motor
Vehicle
Theft",Robbery,"Stolen
Property
Offenses","Animal 
Cruelty","Drug/
Narcotic
Offenses","Drug/
Narcotic
Violations","Drug
Equipment
Violations","Gambling
Offenses","Betting/
Wagering","Operating/
Promoting/
Assisting
Gambling","Gambling
Equipment
Violations","Sports
Tampering","Pornography/
Obscene
Material","Prostitution
Offenses",Prostitution,"Assisting or
Promoting
Prostitution","Purchasing
Prostitution","Weapon
Law
Violations"
,Charlotte ,1597,32,7,24,1,7,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,2,1,0,0,0,0,1,0,10,0,0,1,0,0,0,0,9,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,Childress,5830,144,41,40,63,38,9,29,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,5,3,9,0,0,5,0,3,1,0,0,1,0,12,0,1,7,0,0,0,1,3,3,0,3,1,57,57,0,0,0,0,0,0,0,0,0,0,0,5
,China Grove,1131,64,4,38,22,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,3,0,0,7,3,1,1,0,1,1,0,9,0,0,0,0,0,0,1,8,10,0,0,0,18,5,13,0,0,0,0,0,0,0,0,0,0,4
,Cibolo,35851,1057,380,553,124,347,35,253,59,0,0,0,0,0,0,0,0,33,20,4,0,9,0,0,3,0,28,16,88,0,0,110,0,3,107,0,0,0,0,278,2,1,30,38,0,80,18,109,28,1,1,5,103,76,27,0,0,0,0,0,9,0,0,0,0,7
,Cisco,3986,138,39,75,24,36,2,28,6,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,18,3,18,0,0,4,1,2,0,0,0,1,0,21,0,0,1,2,0,4,3,11,7,0,4,2,19,19,0,0,0,0,0,0,0,0,0,0,0,3
,Cleburne,35075,1429,359,592,478,316,68,228,20,1,1,0,0,0,0,0,4,38,15,4,2,17,0,0,1,0,34,25,74,6,0,78,11,34,1,0,0,31,1,331,3,1,165,20,0,41,18,83,41,2,0,1,444,290,154,0,0,0,0,0,1,0,0,0,0,32
,Clifton,3536,94,19,21,54,17,7,8,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,3,4,3,0,0,3,1,2,0,0,0,0,0,5,0,0,1,0,0,0,0,4,1,0,2,0,47,47,0,4,1,1,2,0,0,0,0,0,0,3
,Clute,10640,718,274,365,79,265,18,237,10,0,0,0,0,0,0,0,0,9,7,1,0,1,0,0,0,0,83,10,72,0,0,44,1,24,19,0,0,0,0,130,0,0,0,0,0,1,0,129,18,6,2,0,63,63,0,0,0,0,0,0,1,0,0,0,0,15
,Clyde,4010,142,49,59,34,45,6,39,0,0,0,0,0,0,0,0,0,4,2,0,0,1,1,0,0,0,9,1,14,0,0,4,2,1,0,0,0,1,0,21,0,0,4,2,0,2,2,11,7,0,3,0,28,26,2,0,0,0,0,0,0,0,0,0,0,6
,Cockrell Hill,3658,168,28,97,43,27,8,17,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,14,0,16,0,0,4,2,0,0,0,0,2,0,49,1,1,21,1,0,5,1,19,13,0,1,0,32,16,16,0,0,0,0,0,0,0,0,0,0,11
,Coleman,4001,94,20,16,58,19,5,12,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,2,0,4,1,0,1,0,0,1,1,0,4,0,1,0,56,50,6,0,0,0,0,0,0,0,0,0,0,2
,College Station,126136,4899,1031,2612,1256,919,112,691,116,4,4,0,0,2,2,0,11,95,49,7,7,31,1,0,0,0,173,75,346,8,25,405,240,118,30,0,8,9,0,1412,4,0,285,141,1,355,91,535,135,22,11,0,1102,721,381,0,0,0,0,0,24,2,1,1,0,128
,Colleyville,25748,720,63,301,356,57,9,30,18,0,0,0,0,1,1,0,0,5,5,0,0,0,0,0,0,0,9,21,23,3,4,115,25,29,0,0,11,50,0,116,0,0,34,26,0,33,4,19,6,0,4,2,327,239,88,0,0,0,0,0,5,0,0,0,0,22
,Collinsville,2086,21,9,1,11,7,0,7,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0
,Colorado City,3910,165,28,117,20,27,6,19,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,32,0,0,2,0,0,0,0,0,2,0,42,1,0,9,6,0,2,7,17,11,0,2,0,16,9,7,0,0,0,0,0,0,0,0,0,0,4
,Columbus,3724,111,37,58,16,34,10,22,2,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,2,3,8,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,1,7,0,26,11,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,6
,Comanche,4273,219,85,105,29,78,8,53,17,0,0,0,0,0,0,0,2,5,2,1,0,2,0,0,1,0,8,2,19,0,0,16,7,3,2,0,1,2,1,53,0,0,0,0,1,10,1,41,5,1,0,0,24,17,7,0,0,0,0,0,0,0,0,0,0,5
,Combes,3173,179,27,61,91,22,4,10,8,0,0,0,0,0,0,0,3,2,1,0,0,1,0,0,0,0,4,0,16,0,0,6,3,2,0,0,0,1,0,30,1,0,4,1,0,4,1,19,5,0,0,0,85,36,49,0,0,0,0,0,0,0,0,0,0,6
,Commerce,9372,512,187,277,48,177,42,110,25,1,1,0,0,0,0,0,0,9,6,1,0,2,0,0,1,0,18,15,63,0,0,19,0,10,9,0,0,0,0,152,1,2,45,10,1,28,3,62,8,1,0,0,41,31,10,0,0,0,0,0,0,0,0,0,0,7
,Conroe,106904,5493,1480,2759,1254,1374,156,976,242,5,3,2,0,0,0,0,16,85,23,12,8,41,1,0,5,2,222,130,446,4,5,370,116,108,17,0,35,88,6,1326,5,6,610,85,2,295,42,281,182,41,26,4,1137,878,259,0,0,0,0,0,12,3,3,0,0,98
,Converse,30522,1600,288,956,356,283,108,149,26,1,0,1,0,0,0,0,1,3,2,1,0,0,0,0,1,0,97,19,210,1,0,102,55,28,6,0,2,11,0,404,34,3,125,22,3,98,29,90,108,13,1,0,310,76,234,0,0,0,0,0,4,0,0,0,0,42
,Coppell,41719,947,141,698,108,135,20,107,8,0,0,0,0,0,0,0,0,6,5,0,0,1,0,0,0,0,30,5,106,11,5,145,41,25,48,0,4,27,0,365,0,0,36,68,0,94,61,106,25,6,0,0,99,53,46,0,0,0,0,0,0,0,0,0,0,9
,Copperas Cove,38602,2746,904,1177,665,797,67,609,121,1,1,0,0,1,1,0,13,92,58,9,5,20,0,0,3,0,79,30,206,0,0,259,79,79,5,0,0,92,4,534,1,1,0,4,1,98,0,429,56,10,0,17,591,355,236,0,0,0,0,0,7,1,0,1,0,49
,Corinth,22965,509,110,305,94,104,14,79,11,0,0,0,0,0,0,0,1,5,4,0,0,1,0,0,1,0,58,8,35,0,0,54,9,16,0,0,0,29,0,130,0,0,0,3,0,37,4,86,15,4,0,0,80,45,35,0,0,0,0,0,3,1,1,0,0,10
,Corpus Christi,315340,29880,10072,15600,4208,9538,2107,5529,1902,25,20,3,2,5,2,3,31,473,164,83,42,182,2,0,58,0,1664,392,2851,100,0,1689,195,662,15,0,0,809,8,7446,9,12,1605,150,15,2425,442,2788,1030,370,0,37,3427,2454,973,30,6,13,11,0,91,92,42,34,16,531
,Corrigan,1480,61,17,26,18,14,4,9,1,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,1,2,0,0,3,1,2,0,0,0,0,0,10,0,0,1,1,0,3,1,4,3,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,6
,Corsicana,25782,1542,334,964,244,297,85,198,14,0,0,0,0,0,0,0,2,35,25,0,5,5,0,0,10,0,115,30,165,1,0,108,58,50,0,0,0,0,0,446,0,0,0,0,1,75,0,370,77,12,0,0,194,188,6,0,0,0,0,0,5,1,0,1,0,44
,Crandall,5054,551,222,248,81,209,52,139,18,1,1,0,0,0,0,0,1,11,8,0,0,3,0,0,1,0,24,8,77,0,0,25,0,9,15,0,0,1,0,81,0,0,2,3,0,22,7,47,22,8,2,0,62,34,28,0,0,0,0,0,1,1,1,0,0,17
,Crane,3293,63,24,7,32,23,4,19,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,26,26,0,0,0,0,0,0,0,0,0,0,0,6
,Crockett,6302,437,83,201,153,79,14,65,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,29,10,42,7,0,16,9,5,0,0,2,0,0,85,0,0,17,12,0,28,3,25,8,4,0,5,134,83,51,0,0,0,0,0,0,0,0,0,0,14
,Crowley,20071,1121,171,665,285,155,33,111,11,1,1,0,0,0,0,0,4,11,5,2,0,4,0,0,1,0,63,13,102,0,1,85,56,14,5,0,0,10,0,359,15,0,128,22,1,71,5,117,36,4,1,1,245,135,110,0,0,0,0,0,7,0,0,0,0,32
,Crystal City,6050,115,53,59,3,52,15,37,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,15,0,20,0,0,2,0,0,0,0,1,1,0,13,0,1,3,1,0,0,0,8,7,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1
,Cuero,8085,450,135,217,98,134,73,45,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,15,11,58,1,0,20,5,8,7,0,0,0,0,101,22,2,11,3,1,7,3,52,7,0,2,0,83,75,8,2,0,1,1,0,0,1,0,1,0,12
,Cuney,115,5,3,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,Daingerfield,2521,141,40,77,24,38,16,16,6,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,10,2,7,0,0,3,0,3,0,0,0,0,0,52,0,0,19,0,0,12,1,20,2,1,0,0,20,10,10,0,0,0,0,0,1,0,0,0,0,3
,Dalhart,8389,287,109,131,47,101,26,63,12,1,0,1,0,0,0,0,2,5,1,1,0,3,0,0,0,0,29,10,33,0,0,11,3,8,0,0,0,0,0,39,0,0,0,0,1,16,0,22,8,1,0,0,40,32,8,0,0,0,0,0,1,0,0,0,0,6
,Dallas,1304989,109358,26599,69491,13268,25268,6098,14754,4416,283,242,20,21,45,44,1,172,831,366,113,59,291,2,0,147,2,6137,249,9909,293,44,2522,1878,286,20,1,0,332,5,28642,91,39,2727,826,20,13494,3847,7598,18608,2081,857,93,10196,8828,1368,79,76,2,1,0,62,567,442,66,59,2271
,Dalworthington Gardens,2263,64,3,39,22,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,9,6,0,0,0,0,3,0,19,7,0,0,2,0,8,0,2,4,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,2
,Dawson,828,17,6,1,10,5,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,1
,Dayton,9655,364,69,198,97,63,15,40,8,2,2,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,24,4,40,0,0,15,5,9,1,0,0,0,0,95,0,0,2,8,0,38,2,45,17,3,0,0,77,76,1,0,0,0,0,0,0,0,0,0,0,20
,Decatur,7499,743,77,343,323,72,11,50,11,0,0,0,0,0,0,0,0,5,1,2,0,2,0,0,0,0,14,12,42,0,0,25,1,10,14,0,0,0,0,238,2,3,133,11,0,31,6,52,8,2,2,1,289,188,101,0,0,0,0,0,1,1,1,0,0,31
,Deer Park,33033,1427,259,731,437,238,30,198,10,2,1,1,0,0,0,0,1,18,9,3,0,6,0,0,3,0,42,9,103,3,3,84,25,28,1,1,1,27,1,417,0,0,166,16,0,84,34,117,51,4,12,0,349,158,191,0,0,0,0,0,9,0,0,0,0,79
,De Leon,2332,59,26,32,1,25,3,18,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,9,1,3,0,0,1,1,0,0,0,0,0,0,12,0,1,2,2,0,0,0,7,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Del Rio,34466,1432,450,899,83,407,30,252,125,0,0,0,0,0,0,0,6,37,16,2,0,19,0,0,3,0,141,17,190,0,0,123,12,74,3,0,1,33,0,394,0,0,23,20,1,108,8,234,26,2,3,3,56,56,0,0,0,0,0,0,0,0,0,0,0,24
,Denison,27261,967,195,367,405,174,49,97,28,4,3,1,0,0,0,0,2,15,11,2,0,2,0,0,3,0,52,15,64,2,0,41,26,7,0,0,0,8,0,148,1,0,17,3,0,22,3,102,35,4,3,0,368,256,112,0,0,0,0,0,1,2,2,0,0,34
,Denton,155215,8310,2282,5071,957,2149,242,1383,524,9,9,0,0,2,2,0,7,115,51,0,31,33,0,0,10,2,301,84,695,3,0,789,325,298,41,1,4,114,6,2778,7,0,799,429,5,580,185,773,337,53,19,7,704,526,178,1,0,1,0,0,77,1,1,0,0,167
,Denver City,4230,81,35,39,7,31,4,20,7,0,0,0,0,0,0,0,1,3,1,0,0,2,0,0,0,0,7,0,10,0,0,2,0,1,1,0,0,0,0,16,0,0,1,0,0,2,0,13,3,1,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,1
,DeSoto,56257,2777,882,1650,245,815,100,547,168,0,0,0,0,0,0,0,3,64,29,6,3,26,0,0,2,0,129,9,322,4,0,105,16,38,2,0,0,49,0,826,0,1,142,7,0,282,23,371,221,32,0,1,144,99,45,3,1,1,1,0,2,0,0,0,0,95
,Devine,4590,153,29,101,23,29,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,1,0,0,1,0,0,0,0,71,0,0,37,16,0,7,1,10,12,0,0,0,22,11,11,0,0,0,0,0,0,0,0,0,0,1
,Diboll,4617,163,46,77,40,41,10,21,10,2,2,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,8,3,15,0,0,12,8,3,0,0,0,1,0,27,5,1,1,3,1,4,1,11,10,1,0,2,30,23,7,0,0,0,0,0,1,0,0,0,0,7
,Dickinson,21881,843,332,422,89,304,31,235,38,1,1,0,0,0,0,0,0,27,12,3,0,12,0,0,1,0,48,12,84,2,0,86,43,15,0,0,9,19,0,140,0,0,25,14,2,30,12,57,39,7,3,4,56,38,18,0,0,0,0,0,6,1,1,0,0,22
,Dilley,3331,85,33,47,5,33,8,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,9,0,0,2,0,0,2,0,0,0,0,13,0,0,0,2,0,1,0,10,10,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2
,Dimmitt,4100,84,24,26,34,21,4,16,1,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,13,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,1,2,0,1,32,32,0,0,0,0,0,0,0,0,0,0,0,1
,Donna,16769,1350,317,925,108,293,221,29,43,2,2,0,0,1,1,0,2,19,9,1,1,7,1,0,0,0,78,7,188,0,1,108,71,37,0,0,0,0,0,458,1,1,111,0,1,82,12,250,71,14,0,0,90,86,4,0,0,0,0,0,3,0,0,0,0,15
,Double Oak,3084,33,8,19,6,7,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,4,0,0,5,3,1,0,0,0,1,0,6,0,0,0,0,0,1,1,4,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,2
,Driscoll,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dublin,3470,26,10,10,6,10,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,3,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,1
,Dumas,14037,725,188,431,106,176,31,126,19,0,0,0,0,0,0,0,0,12,8,2,0,2,0,0,0,0,26,31,71,0,0,44,8,20,16,0,0,0,0,242,1,2,110,14,0,24,5,86,16,0,1,2,93,82,11,0,0,0,0,0,0,0,0,0,0,11
,Duncanville,39104,1914,521,1207,186,501,109,356,36,1,1,0,0,0,0,0,1,18,10,0,0,8,0,0,0,0,100,17,144,12,0,103,27,41,1,0,0,32,2,555,2,8,104,45,1,227,56,112,248,28,0,2,130,108,22,0,0,0,0,0,2,0,0,0,0,52
,Eagle Pass,28315,1620,462,977,181,451,47,264,140,0,0,0,0,0,0,0,9,2,1,0,0,1,0,0,3,0,142,33,150,0,0,108,54,29,1,1,0,23,0,463,0,0,47,27,1,108,31,249,70,8,0,5,139,116,23,0,0,0,0,0,0,0,0,0,0,37
,Early,3243,185,68,79,38,61,14,36,11,3,0,3,0,0,0,0,1,3,2,0,0,1,0,0,1,0,6,3,16,0,0,18,15,3,0,0,0,0,0,35,10,0,1,2,1,8,0,13,0,0,0,1,37,37,0,0,0,0,0,0,0,0,0,0,0,0
,Eastland,3653,259,58,107,94,55,3,42,10,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,9,4,23,0,0,15,4,5,0,0,0,6,0,52,0,1,7,5,0,3,3,33,4,0,0,0,79,48,31,0,0,0,0,0,8,0,0,0,0,7
,East Mountain,951,9,2,3,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
,Edcouch,2674,43,21,16,6,19,8,8,3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,4,0,0,2,0,2,0,0,0,0,0,8,0,0,1,0,0,5,0,2,1,0,0,0,5,5,0,0,0,0,0,0,1,0,0,0,0,0
,Edgewood,1734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Edinburg,106137,7341,2246,3952,1143,2078,204,1650,224,2,2,0,0,0,0,0,30,136,68,7,6,55,0,0,4,1,173,76,805,79,4,628,246,120,9,0,0,243,10,2033,0,0,685,260,5,358,83,642,116,30,3,20,1001,766,235,3,0,2,1,0,24,1,1,0,0,94
,Edna,6015,173,75,60,38,72,15,49,8,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,11,1,17,0,0,7,1,2,2,0,1,1,0,16,0,0,3,1,0,4,1,7,4,0,2,0,36,35,1,0,0,0,0,0,0,0,0,0,0,2
,El Campo,12103,956,233,493,230,216,64,113,39,0,0,0,0,0,0,0,0,17,5,1,1,10,0,0,2,0,28,39,77,0,0,38,7,13,18,0,0,0,0,268,2,5,139,10,0,27,9,76,29,7,5,2,194,156,38,0,0,0,0,0,3,0,0,0,0,31
,Electra,2290,95,42,48,5,37,11,19,7,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,5,1,12,0,0,6,1,3,2,0,0,0,0,19,0,0,1,3,0,1,0,14,5,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
,Elgin,12235,628,149,293,186,140,20,113,7,2,2,0,0,0,0,0,0,7,5,1,0,1,0,0,1,0,34,6,63,3,1,41,10,19,3,0,4,5,0,123,0,0,49,1,1,22,2,48,16,5,0,0,160,106,54,0,0,0,0,0,2,0,0,0,0,24
,El Paso,676665,32675,10425,18431,3819,9852,1665,6197,1990,38,34,4,0,2,2,0,125,408,240,34,3,131,0,0,97,0,1062,209,4613,125,0,1991,1395,451,20,0,0,73,52,7709,101,0,1806,18,28,1306,396,4054,2291,325,9,132,3118,2728,390,0,0,0,0,0,69,8,8,0,0,492
,Elsa,5663,519,102,276,141,99,18,80,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,33,2,46,0,0,11,3,4,0,0,0,4,0,173,0,0,42,0,1,36,0,94,3,7,1,0,136,60,76,0,0,0,0,0,0,0,0,0,0,5
,Emory,1394,20,6,10,4,4,1,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,1,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
,Encinal,517,23,5,10,8,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,5,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0
,Ennis,24347,728,124,523,81,120,26,91,3,1,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,37,3,119,0,0,55,23,16,4,0,2,10,0,278,0,0,86,1,0,57,3,131,24,6,1,0,59,48,11,0,0,0,0,0,3,0,0,0,0,19
,Euless,59722,2710,463,1652,595,410,74,294,42,0,0,0,0,0,0,0,7,46,22,4,0,20,0,0,4,0,116,39,187,2,0,142,20,38,3,0,1,80,0,983,3,2,304,14,2,182,104,372,159,20,0,3,405,404,1,0,0,0,0,0,7,0,0,0,0,180
,Eustace,1156,29,5,3,21,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,2
,Everman,5929,221,54,135,32,49,11,31,7,1,1,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,20,0,25,0,0,6,1,2,1,0,0,2,0,58,2,0,7,2,0,23,2,22,23,2,1,0,19,19,0,0,0,0,0,0,2,0,0,0,0,11
,Fairfield,2926,114,32,74,8,30,14,13,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,7,2,8,0,0,6,1,3,1,0,1,0,0,45,0,0,1,3,0,6,0,35,4,0,2,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0
,Fair Oaks Ranch,11753,428,31,136,261,31,4,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3,10,0,0,24,3,4,17,0,0,0,0,50,0,0,1,3,0,0,0,46,15,0,0,0,249,78,171,0,0,0,0,0,0,0,0,0,0,12
,Fairview,11071,174,11,138,25,10,0,5,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,1,15,0,0,10,2,6,0,0,0,2,0,90,2,1,60,13,1,2,2,9,8,1,0,0,24,5,19,0,0,0,0,0,0,0,0,0,0,1
,Falfurrias,4398,38,20,13,5,17,11,6,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,6,3,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
,Farmers Branch,36538,2088,334,1381,373,314,44,246,24,4,4,0,0,0,0,0,4,12,6,1,3,2,0,0,1,0,123,15,147,0,1,40,29,10,0,0,1,0,0,758,3,0,62,13,1,290,173,216,276,20,0,0,275,274,1,0,0,0,0,0,6,0,0,0,0,92
,Farmersville,4227,96,32,44,20,28,5,22,1,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,4,1,9,0,0,2,0,0,1,0,0,0,1,24,0,0,0,2,0,3,2,17,4,0,0,2,15,8,7,0,0,0,0,0,0,0,0,0,0,3
,Farwell,1369,11,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Fate,25400,366,107,192,67,98,15,75,8,0,0,0,0,0,0,0,0,9,5,0,0,4,0,0,0,0,11,12,39,5,0,30,1,12,17,0,0,0,0,91,1,0,1,7,1,9,22,50,4,0,0,0,51,49,2,0,0,0,0,0,3,0,0,0,0,13
,Ferris,2934,78,22,47,9,20,8,11,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,7,1,11,0,0,4,3,1,0,0,0,0,0,19,6,0,0,3,0,6,0,4,3,0,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0,3
,Flatonia,1365,45,7,17,21,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,0,0,0,0,2,0,7,0,0,1,0,0,1,1,4,2,0,1,0,18,13,5,0,0,0,0,0,0,0,0,0,0,3
,Florence,1203,35,11,13,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,3
,Floresville,8480,305,69,195,41,65,8,55,2,0,0,0,0,0,0,0,1,3,2,0,0,1,0,0,1,0,35,3,32,0,0,14,3,0,5,0,2,4,0,79,2,3,23,6,0,2,4,39,20,4,7,1,36,31,5,0,0,0,0,0,0,0,0,0,0,4
,Flower Mound,79513,1286,227,868,191,210,35,135,40,0,0,0,0,0,0,0,0,17,5,6,0,6,0,0,3,0,44,25,96,0,0,180,7,32,139,0,0,2,0,471,0,0,0,1,0,108,8,354,36,13,0,0,157,134,23,0,0,0,0,0,17,1,1,0,0,16
,Floydada,2560,77,21,48,8,20,7,10,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10,2,12,0,0,2,2,0,0,0,0,0,0,17,0,0,0,4,0,1,1,11,4,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,3
,Forest Hill,13583,425,105,250,70,93,12,70,11,1,1,0,0,0,0,0,1,10,7,0,1,2,0,0,0,0,35,0,7,0,0,1,0,1,0,0,0,0,0,129,3,0,20,1,0,49,8,48,71,6,1,0,43,43,0,0,0,0,0,0,1,0,0,0,0,26
